tên_sản_phẩm,giá_hiện_tại,giá_gốc,khuyến_mãi,đánh_giá,link_sản_phẩm,brand_id,series,genre_name,công_nghệ_cpu,số_nhân,số_luồng,tốc_độ_cpu,bộ_nhớ đệm,ram,tốc_độ_bus_ram,màn_hình,độ_phân_giải,công_nghệ_màn_hình,đồ_họa,webcam,kích_thước,thông_tin_pin,hệ_điều_hành,cổng_giao_tiếp,kết_nối_không_dây,tính_năng,tốc_độ_tối_đa,loại_ram,ram_tối_đa,ổ_cứng,tần_số_quét,card_màn_hình,âm_thanh,chất_liệu,ra_mắt,đèn,bluetooth,năm_sản_xuất,đèn_bàn_phím,vỏ_nhựa,tên_hãng,nguồn_bán
HP Envy X360 13 bf0090TU i7 1250U (76B13PA),27.090.000₫,32.990.000₫,-17%,13,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0090tu-i7-76b13pa,1,Envy,Laptop,Intel Core i7 Alder Lake,10,12,1.10 GHz,12 MB,LPDDR4,4267 MHz,13.3 inch,2.8K (2880 x 1800),OLED,Intel Iris Xe Graphics,HP TrueVision 5 MP,Dài 298.3 mm - Rộng 214.9 mm - Dày 16.1 mm - Nặng 1.34 kg,65 W,2022,,,,,,,,,,,,,,,,,,HP,TGDD
HP Envy X360 13 bf0112TU i5 1230U (7C0N9PA),23.990.000₫,29.590.000₫,-18%,6,https://www.thegioididong.com/laptop/hp-envy-x360-13-bf0112tu-i5-7c0n9pa,1,Envy,Laptop,Intel Core i5 Alder Lake,10,12,1.00 GHz,12 MB,,4266 MHz,13.3 inch,2.8K (2880 x 1800),OLED,,HP TrueVision 5 MP,Dài 298.3 mm - Rộng 214.9 mm - Dày 16.1 mm - Nặng 1.34 kg,65 W,,,,Màn hình gập 360 độ,,,Không hỗ trợ nâng cấp,,,Intel Iris Xe Graphics,,,2022,,,,,,HP,TGDD
HP Envy 16 h0205TX i9 12900H (7C0T2PA),51.890.000₫,65.390.000₫,-20%,,https://www.thegioididong.com/laptop/hp-envy-16-h0205tx-i9-7c0t2pa,1,Envy,Laptop,Intel Core i9 Alder Lake - 12900H,14,20,2.50 GHz,24 MB,32 GB,4800 MHz,16 inch,4K/UHD+ (3840 x 2400),OLED,,Camera 5.0 MP,Dài 357.4 mm - Rộng 251.8 mm - Dày 19.9 mm - Nặng 2.32 kg,"6-cell Li-ion, 83 Wh",,,Bluetooth 5.3,,,DDR5,,512 GB SSD NVMe PCIe,,"NVIDIA GeForce RTX 3060, 6 GB",,Vỏ kim loại - Nhôm,2022,,,,,,HP,TGDD
HP Pavilion 15 eg2082TU i5 1240P (7C0Q5PA),16.090.000₫,19.790.000₫,-18%,47,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,12,16,1.70 GHz,12 MB,32 GB,3200 MHz,15.6 inch BrightView,,,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,"3 cell, 41.04 Wh",,,,,,,,512 GB SSD NVMe PCIe,,,,,2022,,,,,,HP,TGDD
HP Pavilion X360 14 ek1049TU i5 1335U (80R27PA),21.990.000₫,24.290.000₫,-9%,11,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz,3200 MHz,,,14 inch,,,Intel Iris Xe Graphics,5.0 MP,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.53 kg,45 W,2023,,,,12 MB,,,,,,Audio by B&O,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 14 dv2074TU i5 1235U (7C0P3PA),16.390.000₫,19.690.000₫,-16%,36,https://www.thegioididong.com/laptop/hp-pavilion-14-dv2074tu-i5-7c0p3pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,10,12,1.30 GHz,12 MB,32 GB,3200 MHz,14 inch,,,Intel Iris Xe Graphics,,Dài 325 mm - Rộng 216.6 mm - Dày 17 mm - Nặng 1.41 kg,,,,Bluetooth 5.3,,,,,,,,Audio by B&O,Vỏ nhựa - nắp lưng bằng kim loại,2022,,,,,,HP,TGDD
HP Pavilion 15 eg2081TU i5 1240P (7C0Q4PA),17.690.000₫,20.990.000₫,-15%,23,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2081tu-i5-7c0q4pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,12,16,1.70 GHz,12 MB,32 GB,3200 MHz,15.6 inch BrightView,,,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.72 kg,,,,,,,,,512 GB SSD NVMe PCIe,,,Audio by B&O,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg2086TU i3 1215U (7C0Q8PA),12.590.000₫,15.290.000₫,-17%,20,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2086tu-i3-7c0q8pa,1,Pavilion,Laptop,Intel Core i3 Alder Lake,6,8,1.20 GHz,10 MB,32 GB,,15.6 inch,,,Intel UHD Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,,,,,,,,,,,,,,2022,,,,,,HP,TGDD
HP Pavilion X360 14 ek1047TU i7 1355U (80R25PA),24.490.000₫,27.590.000₫,-11%,,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1047tu-i7-80r25pa,1,Pavilion,Laptop,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz,12 MB,16 GB,3200 MHz,14 inch,,,Intel Iris Xe Graphics,HP TrueVision 5 MP,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.53 kg,45 W,,,Bluetooth 5.3,,,DDR4,,512 GB SSD NVMe,,,Audio by B&O,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg3035TX i7 1355U (8U6L7PA),24.090.000₫,26.590.000₫,-9%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3035tx-i7-8u6l7pa,1,Pavilion,Laptop,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz,3200 MHz,32 GB,,15.6 inch,Full HD (1920 x 1080),,NVIDIA GeForce MX550 2 GB,Không có,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,65 W,Windows 11 Home SL,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",Bluetooth 5.3,"Duyệt hồ sơ trong 5 phút, Trả góp 0%, Tặng quà VIP",12 MB,,,512 GB SSD NVMe PCIe,,,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
